"styles_ndsLink__GUaai href","styles_pictureLazy__1fLzp src","styles_styledBodyMdText__lJVEV","styles_ndsTruncate__0rtO0","styles_ndsLink__GUaai","styles_ratingsAndReviews__B6_gt href","styles_pictureLazy__1fLzp src 2","styles_pictureLazy__1fLzp src 3","styles_pictureLazy__1fLzp src 4","h-text-greenDark","h-text-grayDark","h-text-bold 2","styles_pictureLazy__1fLzp src 6","styles_btn__1hjpW 2","h-text-orangeDark","h-margin-v-tiny","h-text-bold 3","h-text-greenDark 2"
"https://www.target.com/p/levi-s-women-s-cinch-baggy-jeans/-/A-92690351?preselect=94771303#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_e95428dd-74b6-4cea-8378-00a26635c78d?qlt=65&fmt=webp&hei=350&wid=350","$74.99","Levi's® Women's High-Rise Cinch Baggy Jeans","Levi's","[object Object]","https://target.scene7.com/is/image/Target/GUEST_8300035f-36fa-4745-9da4-88f7ad1851e7?cropN=0.564%2C0.391%2C0.070%2C0.070&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_660f1ef9-c8be-45d4-a69e-2d6076bb3896?cropN=0.552%2C0.218%2C0.048%2C0.048&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=172%2C193%2C209&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","","","","","","",""
"https://www.target.com/p/levi-s-women-s-724-high-rise-straight-jeans/-/A-86370039?preselect=94771188#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_6c9f5507-3387-4ba7-91bb-45f845db0f20?qlt=65&fmt=webp&hei=350&wid=350","$64.99","Levi's® Women's 724™ High-Rise Straight Jeans","Levi's","[object Object]","https://target.scene7.com/is/image/Target/GUEST_8c45ab26-ccd1-4adf-ae38-5b162c7b9ee1?wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_c2daae40-b6af-4ce9-b60a-5fc30404a038?cropN=0.55%2C0.48%2C0.1%2C0.1&sizeN=100%2C100&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=28%2C44%2C68&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","","","","","","",""
"https://www.target.com/p/kbb-by-kahlana-women-s-mid-rise-barrel-leg-the-lynnox-jean-dark-wash/-/A-94680226?preselect=94893062#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_adac1357-2c0f-467a-b005-f895a6371c5e?qlt=65&fmt=webp&hei=350&wid=350","$45.00 - $55.00","KBB by KAHLANA Women's Mid-Rise Barrel Leg 'The Lynnox Jean'","KBB by Kahlana","[object Object]","https://target.scene7.com/is/image/Target/GUEST_e83f047b-448a-43ae-8c4f-144857a299ed?cropN=0.41249993%2C0.39375%2C0.05%2C0.05&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_732d7305-8e78-444c-bf6c-e1e19ff72f6b?cropN=0.40208328%2C0.72916657%2C0.029166717%2C0.029166717&wid=15&hei=15&qlt=80&fmt=webp","","arrives Thu, Apr 30","Shipping dates may vary","200+","","","","","",""
"https://www.target.com/p/women-s-everyday-high-rise-wide-leg-jeans-universal-thread/-/A-94441288?preselect=94766130#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_2776f1b2-cb98-4359-b53a-504500550f68?qlt=65&fmt=webp&hei=350&wid=350","$28.00","Women's High-Rise Wide Leg Jeans - Universal Thread™","Universal Thread","[object Object]","https://target.scene7.com/is/image/Target/GUEST_807047cc-35a0-45ed-adbd-7845c935f93d?cropN=0.427%2C0.116%2C0.040%2C0.040&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_edd1f705-12e3-419a-b1c0-3951a11bd6b2?cropN=0.420%2C0.394%2C0.048%2C0.048&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_0bacc23f-b1ee-4d24-be03-c4b74bd74fae?cropN=0.624%2C0.764%2C0.040%2C0.040&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","arrives Sat, May 2","Shipping dates may vary","3k+","https://target.scene7.com/is/image/Target/GUEST_6d4baec6-f5da-4507-8253-ca3f236f7b74?qlt=65&fmt=webp&hei=350&wid=350","View similar","","","",""
"https://www.target.com/p/levi-s-women-s-cinch-baggy-jeans/-/A-92690351?preselect=92463657#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_660f1ef9-c8be-45d4-a69e-2d6076bb3896?qlt=65&fmt=webp&hei=350&wid=350","$74.99","Levi's® Women's High-Rise Cinch Baggy Jeans","Levi's","[object Object]","https://target.scene7.com/is/image/Target/GUEST_8300035f-36fa-4745-9da4-88f7ad1851e7?cropN=0.564%2C0.391%2C0.070%2C0.070&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_660f1ef9-c8be-45d4-a69e-2d6076bb3896?cropN=0.552%2C0.218%2C0.048%2C0.048&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=172%2C193%2C209&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","","https://target.scene7.com/is/image/Target/GUEST_6f52df8c-f1c7-40d5-b9fb-e9d45eedfcff?qlt=65&fmt=webp&hei=350&wid=350","View similar","","","",""
"https://www.target.com/p/women-s-high-rise-drawstring-soft-utility-jeans-universal-thread/-/A-94899075?preselect=94890947#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_e3adb995-944d-4ae5-9e7f-3efcec262399?qlt=65&fmt=webp&hei=350&wid=350","$40.00","Women’s High-Rise Drawstring Soft Utility Jeans - Universal Thread™","Universal Thread","[object Object]","https://target.scene7.com/is/image/Target/baseswatch?color=243%2C243%2C244&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=157%2C183%2C197&wid=15&hei=15&qlt=80&fmt=webp","","arrives Thu, Apr 30","Shipping dates may vary","100+","https://target.scene7.com/is/image/Target/GUEST_ac9e2f9a-9c78-4d65-9ae2-6d30649a4696?qlt=65&fmt=webp&hei=350&wid=350","View similar","","","",""
"https://www.target.com/p/levi-s-women-s-middy-loose-bootcut-jeans/-/A-94837808?preselect=94771005#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_09a84603-2a1c-4163-9686-fe8ddbf601e8?qlt=65&fmt=webp&hei=350&wid=350","$74.99","Levi's® Women's Middy Loose Bootcut Jeans","Levi's","[object Object]","https://target.scene7.com/is/image/Target/baseswatch?color=204%2C211%2C220&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=32%2C48%2C71&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=197%2C200%2C196&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","100+","https://target.scene7.com/is/image/Target/GUEST_43ea05e9-39b2-42bf-8ead-714efd67bc43?qlt=65&fmt=webp&hei=350&wid=350","","","","",""
"https://www.target.com/p/levi-s-women-s-cinch-barrel-jeans/-/A-94472379?preselect=94417227#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_a6af40a8-805a-4b6f-8a86-8ed49ed5d74c?qlt=65&fmt=webp&hei=350&wid=350","$74.99","Levi's® Women's Cinch Barrel Jeans","Levi's","[object Object]","https://target.scene7.com/is/image/Target/GUEST_87ac492e-7e3c-4d33-b6d3-0118f8b22dc4?cropN=0.566%2C0.624%2C0.040%2C0.040&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=106%2C131%2C164&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=45%2C54%2C70&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","","","","","","",""
"https://www.target.com/p/levi-s-women-s-ultra-high-rise-ribcage-straight-jeans/-/A-85994186?preselect=94417143#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_8acb1e66-d221-4c4f-bd2a-209581231edc?qlt=65&fmt=webp&hei=350&wid=350","$48.99 - $74.99","Levi's® Women's Ultra-High Rise Ribcage Straight Jeans","Levi's","[object Object]","https://target.scene7.com/is/image/Target/GUEST_134f87a4-d765-4a37-a82b-decad644b85d?cropN=0.35%2C0.4%2C0.0625%2C0.0625&sizeN=150%2C150&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_ca9bb0ac-7b5d-45ca-b10a-7d220960a100?cropN=0.53%2C0.22%2C0.0625%2C0.0625&sizeN=150%2C150&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=44%2C60%2C84&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","100+","https://target.scene7.com/is/image/Target/GUEST_5e6ee1cc-f296-407f-b69a-9a418b07b4fa?qlt=65&fmt=webp&hei=350&wid=350","","","","",""
"https://www.target.com/p/women-s-high-rise-striped-barrel-jeans-universal-thread-white/-/A-1010573726?preselect=94765870#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_7b06358a-5adc-4d79-a615-b32aab1f53f5?qlt=65&fmt=webp&hei=350&wid=350","$38.00","Women's High-Rise Striped Barrel Jeans - Universal Thread™ White","Universal Thread","[object Object]","","","","arrives Thu, Apr 30","Shipping dates may vary","","https://target.scene7.com/is/image/Target/GUEST_27ef1f91-45ce-4803-89e0-c48c58edf795?qlt=65&fmt=webp&hei=350&wid=350","View similar","Only 1 left","at  Sacramento SW","Pickup","ready within 2 hours"
