"sale-tag","x-link-to href","sr-only","img-responsive src","img-responsive src 2","product-name","product-sale-price","product-list-price","merchant-flags"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-strigid-low-rise-ultra-wide-leg-jean/0437_5676_471","Link to product AE Dreamy Drape Strigid Low-Rise Ultra Wide-Leg Jean","https://s7d2.scene7.com/is/image/aeo/0437_5676_471_l1?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_5676_471_of?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Strigid Low-Rise Ultra Wide-Leg Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-strigid-low-rise-baggy-ultra-wide-leg-jean/0437_6042_898","Link to product AE Dreamy Drape Strigid Low-Rise Baggy Ultra-Wide Leg Jean","https://s7d2.scene7.com/is/image/aeo/0437_6042_898_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6042_898_ob?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Strigid Low-Rise Baggy Ultra-Wide Leg Jean","$44.96 USD","$59.95 USD","New + Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-next-level-super-high-waisted-flare-jean/1436_6024_110","Link to product AE Next Level Super High-Waisted Flare Jean","https://s7d2.scene7.com/is/image/aeo/1436_6024_110_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1436_6024_110_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level Super High-Waisted Flare Jean","$44.96 USD","$59.95 USD","New + Online Exclusive"
"","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-syd-dreamy-drape-stretch-super-high-waisted-baggy-wide-leg-jean/2548_6391_958","Link to product AE Syd Dreamy Drape Stretch Super High-Waisted Baggy Wide-Leg Jean","https://s7d2.scene7.com/is/image/aeo/2548_6391_958_l1?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/2548_6391_958_f?$plp-web-desktop$&fmt=jpeg","AE Syd Dreamy Drape Stretch Super High-Waisted Baggy Wide-Leg Jean","","$89.95 USD","New + Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-strigid-low-rise-baggy-wide-leg-jean/0437_6054_992","Link to product AE Dreamy Drape Strigid Low-Rise Baggy Wide-Leg Jean","https://s7d2.scene7.com/is/image/aeo/0437_6054_992_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6054_992_ob?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Strigid Low-Rise Baggy Wide-Leg Jean","$44.96 USD","$59.95 USD","New + Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-stretch-low-rise-pull-on-barrel-jean/0437_6113_001","Link to product AE Stretch Low-Rise Pull-On Barrel Jean","https://s7d2.scene7.com/is/image/aeo/0437_6113_001_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6113_001_ob?$plp-web-desktop$&fmt=jpeg","AE Stretch Low-Rise Pull-On Barrel Jean","$44.96 USD","$59.95 USD","New + Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-stretch-low-rise-flare-jean/1436_6164_936","Link to product AE Stretch Low-Rise Flare Jean","https://s7d2.scene7.com/is/image/aeo/1436_6164_936_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1436_6164_936_ob?$plp-web-desktop$&fmt=jpeg","AE Stretch Low-Rise Flare Jean","$44.96 USD","$59.95 USD","New + Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-stretch-high-waisted-stovepipe-crop-jean/4435_6030_139","Link to product AE Stretch High-Waisted Stovepipe Crop Jean","https://s7d2.scene7.com/is/image/aeo/4435_6030_139_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4435_6030_139_ob?$plp-web-desktop$&fmt=jpeg","AE Stretch High-Waisted Stovepipe Crop Jean","$44.96 USD","$59.95 USD","New"
"","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-low-rise-beachy-baggy-jean/0437_6152_915","Link to product AE Low-Rise Beachy Baggy Jean","https://s7d2.scene7.com/is/image/aeo/0437_6152_915_l1?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6152_915_of?$plp-web-desktop$&fmt=jpeg","AE Low-Rise Beachy Baggy Jean","","$69.95 USD","New"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-stretch-super-high-waisted-baggy-wide-leg-jean/0437_5350_857","Link to product AE Dreamy Drape Stretch Super High-Waisted Baggy Wide-Leg Jean","https://s7d2.scene7.com/is/image/aeo/0437_5350_857_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_5350_857_ob?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Stretch Super High-Waisted Baggy Wide-Leg Jean","$44.96 USD","$59.95 USD",""
"","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-dreamy-drape-stretch-super-low-rise-baggy-flare-jean/0437_6101_459","Link to product AE Dreamy Drape Stretch Super Low-Rise Baggy Flare Jean","https://s7d2.scene7.com/is/image/aeo/0437_6101_459_l1?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6101_459_of?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Stretch Super Low-Rise Baggy Flare Jean","","$79.95 USD","New"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-strigid-high-waisted-stovepipe-jean/4435_5514_947","Link to product AE Strigid High-Waisted Stovepipe Jean","https://s7d2.scene7.com/is/image/aeo/4435_5514_947_l1?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4435_5514_947_of?$plp-web-desktop$&fmt=jpeg","AE Strigid High-Waisted Stovepipe Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-strigid-ripped-high-waisted-stovepipe-jean/4435_5012_432","Link to product AE Strigid Ripped High-Waisted Stovepipe Jean","https://s7d2.scene7.com/is/image/aeo/4435_5012_432_l2?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4435_5012_432_of?$plp-web-desktop$&fmt=jpeg","AE Strigid Ripped High-Waisted Stovepipe Jean","$52.46 USD","$69.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-stretch-super-high-waisted-baggy-wide-leg-jean/0437_4944_915","Link to product AE Dreamy Drape Stretch Super High-Waisted Baggy Wide-Leg Jean","https://s7d2.scene7.com/is/image/aeo/0437_4944_915_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_4944_915_ob?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Stretch Super High-Waisted Baggy Wide-Leg Jean","$44.96 USD","$59.95 USD",""
"","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-low-rise-beachy-baggy-jean/0437_6147_914","Link to product AE Low-Rise Beachy Baggy Jean","https://s7d2.scene7.com/is/image/aeo/0437_6147_914_l1?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6147_914_of?$plp-web-desktop$&fmt=jpeg","AE Low-Rise Beachy Baggy Jean","","$69.95 USD","New"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-strigid-low-rise-baggy-straight-jean/0437_5324_437","Link to product AE Strigid Low-Rise Baggy Straight Jean","https://s7d2.scene7.com/is/image/aeo/0437_5324_437_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_5324_437_ob?$plp-web-desktop$&fmt=jpeg","AE Strigid Low-Rise Baggy Straight Jean","$44.96 USD","$59.95 USD","Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-stretch-high-waisted-stovepipe-crop-jean/4435_6029_455","Link to product AE Stretch High-Waisted Stovepipe Crop Jean","https://s7d2.scene7.com/is/image/aeo/4435_6029_455_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4435_6029_455_ob?$plp-web-desktop$&fmt=jpeg","AE Stretch High-Waisted Stovepipe Crop Jean","$52.46 USD","$69.95 USD","New"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-strigid-low-rise-baggy-ultra-wide-leg-jean/0437_6052_910","Link to product AE Dreamy Drape Strigid Low-Rise Baggy Ultra-Wide Leg Jean","https://s7d2.scene7.com/is/image/aeo/0437_6052_910_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6052_910_ob?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Strigid Low-Rise Baggy Ultra-Wide Leg Jean","$52.46 USD","$69.95 USD",""
