"flex href","w-full src","box-border src","box-border src 2","box-border src 3","box-border src 5","sm:line-clamp-3","text-useCase-yourPricePurple","text-gray-1000","flex href 2","sr-only","kds-text-sm","pl-[1px]","underline"
"https://www.kohls.com/product/prd-7626864/womens-sonoma-goods-for-life-high-rise-straight-leg-jeans.jsp?color=Medium%20Wash","https://media.kohlsimg.com/is/image/kohls/7626864_Medium_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626864_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626864_Bright_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626864_Super_Light_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626864_Medium_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans","$27.99","$34.99 Reg.","https://www.kohls.com/product/prd-7626864/womens-sonoma-goods-for-life-high-rise-straight-leg-jeans.jsp?color=Medium%20Wash","Rated 3.8 out of 5 stars","3.8","()","649"
"https://www.kohls.com/product/prd-6893694/womens-sonoma-goods-for-life-high-rise-skinny-jeans.jsp?color=Medium%20Wash","https://media.kohlsimg.com/is/image/kohls/6893694_Medium_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/6893694_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/6893694_White_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/6893694_Black_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/6893694_Medium_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's Sonoma Goods For Life® High-Rise Skinny Jeans","$27.99","$34.99 Reg.","https://www.kohls.com/product/prd-6893694/womens-sonoma-goods-for-life-high-rise-skinny-jeans.jsp?color=Medium%20Wash","Rated 3.9 out of 5 stars","3.9","()","1011"
"https://www.kohls.com/product/prd-7437759/womens-lc-lauren-conrad-super-high-rise-wide-leg-jeans.jsp?color=Stone%20White","https://media.kohlsimg.com/is/image/kohls/7437759_Stone_White?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7437759_Med_Bright_Blue_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7437759_Myra_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7437759_Superlight_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7437759_Stone_White_sw?wid=24&hei=24&op_sharpen=1","Women's LC Lauren Conrad Super High Rise Wide Leg Jeans","$35.99","$44.99 Reg.","https://www.kohls.com/product/prd-7437759/womens-lc-lauren-conrad-super-high-rise-wide-leg-jeans.jsp?color=Stone%20White","Rated 4.3 out of 5 stars","4.3","()","1026"
"https://www.kohls.com/product/prd-7626838/womens-sonoma-goods-for-life-mid-rise-relaxed-boyfriend-jeans.jsp?color=Bright%20Medium%20Wash","https://media.kohlsimg.com/is/image/kohls/7626838_Bright_Medium_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626838_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626838_Light_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626838_Vintage_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626838_Bright_Medium_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans","$31.99","$39.99 Reg.","https://www.kohls.com/product/prd-7626838/womens-sonoma-goods-for-life-mid-rise-relaxed-boyfriend-jeans.jsp?color=Bright%20Medium%20Wash","Rated 4.3 out of 5 stars","4.3","()","228"
"https://www.kohls.com/product/prd-6679547/womens-lc-lauren-conrad-super-high-rise-wildflower-wide-leg-cropped-pants.jsp?color=Carson%20Wash","https://media.kohlsimg.com/is/image/kohls/6679547_Carson_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/6679547_Med_Blue_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/6679547_Medium_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/6679547_Dark_Blue_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/6679547_Carson_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants","$35.99","$44.99 Reg.","https://www.kohls.com/product/prd-6679547/womens-lc-lauren-conrad-super-high-rise-wildflower-wide-leg-cropped-pants.jsp?color=Carson%20Wash","Rated 4.4 out of 5 stars","4.4","()","720"
"https://www.kohls.com/product/prd-4991601/womens-nine-west-straight-jeans.jsp?color=Medium%20Wash%20Blast","https://media.kohlsimg.com/is/image/kohls/4991601_Medium_Wash_Blast?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/4991601_Rinse_Wash_Blast_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/4991601_White_Knight_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/4991601_Black_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/4991601_Medium_Wash_Blast_sw?wid=24&hei=24&op_sharpen=1","Women's Nine West Straight Jeans","$31.99","$39.99 Reg.","https://www.kohls.com/product/prd-4991601/womens-nine-west-straight-jeans.jsp?color=Medium%20Wash%20Blast","Rated 4.5 out of 5 stars","4.5","()","3036"
"https://www.kohls.com/product/prd-7928809/womens-nine-west-high-rise-wide-leg-pants.jsp?color=Medium%20Wash","https://media.kohlsimg.com/is/image/kohls/7928809_Medium_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7928809_Dark_Rinse_Blast_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7928809_White_Knight_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7928809_Ganet_Olive_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7928809_Medium_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's Nine West High-Rise Wide Leg Pants","$39.99","$49.99 Reg.","https://www.kohls.com/product/prd-7928809/womens-nine-west-high-rise-wide-leg-pants.jsp?color=Medium%20Wash","Rated 4.6 out of 5 stars","4.6","()","20"
"https://www.kohls.com/product/prd-5033495/womens-simply-vera-vera-wang-stretch-bootcut-jeans.jsp?color=Camila%20Dark%20Wash","https://media.kohlsimg.com/is/image/kohls/5033495_Camila_Dark_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/5033495_Alma_Black_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/5033495_Shye_Light_Wash_sw?wid=24&hei=24&op_sharpen=1","","https://media.kohlsimg.com/is/image/kohls/5033495_Camila_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's Simply Vera Vera Wang Stretch Bootcut Jeans","$35.99","$44.99 Reg.","https://www.kohls.com/product/prd-5033495/womens-simply-vera-vera-wang-stretch-bootcut-jeans.jsp?color=Camila%20Dark%20Wash","Rated 4.1 out of 5 stars","4.1","()","793"
"https://www.kohls.com/product/prd-7863206/womens-croft-barrow-classic-pull-on-straight-leg-jeans.jsp?color=Dark%20Wash","https://media.kohlsimg.com/is/image/kohls/7863206_Dark_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7863206_Medium_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7863206_Graceful_Beige_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7863206_Rinse_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7863206_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans","$27.99","$34.99 Reg.","https://www.kohls.com/product/prd-7863206/womens-croft-barrow-classic-pull-on-straight-leg-jeans.jsp?color=Dark%20Wash","Rated 4 out of 5 stars","4.0","()","121"
"https://www.kohls.com/product/prd-7755027/womens-lc-lauren-conrad-super-high-rise-true-straight-jeans.jsp?color=Light%20Wash","https://media.kohlsimg.com/is/image/kohls/7755027_Light_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7755027_Black_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7755027_Lc_Romelle_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7755027_Dark_Rinse_Denim_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7755027_Light_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's LC Lauren Conrad Super High Rise True Straight Jeans","$35.99","$44.99 Reg.","https://www.kohls.com/product/prd-7755027/womens-lc-lauren-conrad-super-high-rise-true-straight-jeans.jsp?color=Light%20Wash","Rated 4 out of 5 stars","4.0","()","106"
"https://www.kohls.com/product/prd-7623445/womens-sonoma-goods-for-life-mid-rise-bootcut-jeans.jsp?color=Medium%20Blue%20Wash","https://media.kohlsimg.com/is/image/kohls/7623445_Medium_Blue_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7623445_Black_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7623445_Rinse_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7623445_Deep_Blue_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7623445_Medium_Blue_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans","$27.99","$34.99 Reg.","https://www.kohls.com/product/prd-7623445/womens-sonoma-goods-for-life-mid-rise-bootcut-jeans.jsp?color=Medium%20Blue%20Wash","Rated 3.7 out of 5 stars","3.7","()","436"
"https://www.kohls.com/product/prd-7626908/womens-sonoma-goods-for-life-curvy-high-rise-straight-leg-jeans.jsp?color=Dark%20Wash","https://media.kohlsimg.com/is/image/kohls/7626908_Dark_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626908_Bright_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626908_Super_Light_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626908_Medium_Wash_sw?wid=24&hei=24&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7626908_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans","$27.99","$34.99 Reg.","https://www.kohls.com/product/prd-7626908/womens-sonoma-goods-for-life-curvy-high-rise-straight-leg-jeans.jsp?color=Dark%20Wash","Rated 3.7 out of 5 stars","3.7","()","262"
"https://www.kohls.com/product/prd-7919968/womens-sonoma-goods-for-life-mid-rise-utility-barrel-jeans.jsp?color=Dark%20Wash","https://media.kohlsimg.com/is/image/kohls/7919968_Dark_Wash?wid=342&hei=342&op_sharpen=1","https://media.kohlsimg.com/is/image/kohls/7919968_Vinatge_Medium_Wash_sw?wid=24&hei=24&op_sharpen=1","","","https://media.kohlsimg.com/is/image/kohls/7919968_Dark_Wash_sw?wid=24&hei=24&op_sharpen=1","Women's Sonoma Goods For Life Mid Rise Utility Barrel Jeans","$35.99","$44.99 Reg.","https://www.kohls.com/product/prd-7919968/womens-sonoma-goods-for-life-mid-rise-utility-barrel-jeans.jsp?color=Dark%20Wash","Rated 4.1 out of 5 stars","4.1","()","33"
