retailer,product_id,product_name,brand,color,sale_price,regular_price,on_sale,material,stretch,rise,fit,url,description
Kohls,7626864,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans,Sonoma Goods For Life,Dark Wash,29.99,34.99,true,"Cotton, polyester, elastane",Yes,"High rise, sits below the natural waistline",Straight,https://www.kohls.com/product/prd-7626864/,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans
Kohls,7626864,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans,Sonoma Goods For Life,Rinse,29.99,34.99,true,"Cotton, polyester, elastane",Yes,"High rise, sits below the natural waistline",Straight,https://www.kohls.com/product/prd-7626864/,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans
Kohls,7626864,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans,Sonoma Goods For Life,Medium Wash,29.99,34.99,true,"Cotton, polyester, elastane",Yes,"High rise, sits below the natural waistline",Straight,https://www.kohls.com/product/prd-7626864/,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans
Kohls,7626864,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans,Sonoma Goods For Life,Bright Dark Wash,29.99,34.99,true,"Cotton, polyester, elastane",Yes,"High rise, sits below the natural waistline",Straight,https://www.kohls.com/product/prd-7626864/,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans
Kohls,7626864,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans,Sonoma Goods For Life,Bright Medium Wash,29.99,34.99,true,"Cotton, polyester, elastane",Yes,"High rise, sits below the natural waistline",Straight,https://www.kohls.com/product/prd-7626864/,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans
Kohls,7626864,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans,Sonoma Goods For Life,Black Wash,29.99,34.99,true,"Cotton, polyester, elastane",Yes,"High rise, sits below the natural waistline",Straight,https://www.kohls.com/product/prd-7626864/,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans
Kohls,7626864,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans,Sonoma Goods For Life,Super Light Wash,29.99,34.99,true,"Cotton, polyester, elastane",Yes,"High rise, sits below the natural waistline",Straight,https://www.kohls.com/product/prd-7626864/,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans
Kohls,7626864,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans,Sonoma Goods For Life,White,29.99,34.99,true,"Cotton, polyester, elastane",Yes,"High rise, sits below the natural waistline",Straight,https://www.kohls.com/product/prd-7626864/,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans
Kohls,7626864,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans,Sonoma Goods For Life,Light Grey Wash,29.99,34.99,true,"Cotton, polyester, elastane",Yes,"High rise, sits below the natural waistline",Straight,https://www.kohls.com/product/prd-7626864/,Women's Sonoma Goods For Life® High-Rise Straight Leg Jeans
Kohls,6893694,Women's Sonoma Goods For Life® High-Rise Skinny Jeans,Sonoma Goods For Life,Medium Light Wash,29.99,34.99,true,Denim construction,No,High rise sits below the natural waistline,Skinny,https://www.kohls.com/product/prd-6893694/,Women's Sonoma Goods For Life® High-Rise Skinny Jeans
Kohls,6893694,Women's Sonoma Goods For Life® High-Rise Skinny Jeans,Sonoma Goods For Life,Medium Wash,29.99,34.99,true,Denim construction,No,High rise sits below the natural waistline,Skinny,https://www.kohls.com/product/prd-6893694/,Women's Sonoma Goods For Life® High-Rise Skinny Jeans
Kohls,6893694,Women's Sonoma Goods For Life® High-Rise Skinny Jeans,Sonoma Goods For Life,Dark Wash,29.99,34.99,true,Denim construction,No,High rise sits below the natural waistline,Skinny,https://www.kohls.com/product/prd-6893694/,Women's Sonoma Goods For Life® High-Rise Skinny Jeans
Kohls,6893694,Women's Sonoma Goods For Life® High-Rise Skinny Jeans,Sonoma Goods For Life,Black,29.99,34.99,true,Denim construction,No,High rise sits below the natural waistline,Skinny,https://www.kohls.com/product/prd-6893694/,Women's Sonoma Goods For Life® High-Rise Skinny Jeans
Kohls,6893694,Women's Sonoma Goods For Life® High-Rise Skinny Jeans,Sonoma Goods For Life,Dark Rinse,29.99,34.99,true,Denim construction,No,High rise sits below the natural waistline,Skinny,https://www.kohls.com/product/prd-6893694/,Women's Sonoma Goods For Life® High-Rise Skinny Jeans
Kohls,6893694,Women's Sonoma Goods For Life® High-Rise Skinny Jeans,Sonoma Goods For Life,White,29.99,34.99,true,Denim construction,No,High rise sits below the natural waistline,Skinny,https://www.kohls.com/product/prd-6893694/,Women's Sonoma Goods For Life® High-Rise Skinny Jeans
Kohls,7437759,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans,LC Lauren Conrad,Superlight Wash,39.99,44.99,true,Denim construction,No,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7437759/,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans
Kohls,7437759,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans,LC Lauren Conrad,Light Blue Wash,39.99,44.99,true,Denim construction,No,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7437759/,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans
