"cell-image-link href","responsive-img src","add-to-cart","swatch-wrapper src","swatch-wrapper src 2","swatch-wrapper src 3","swatch-wrapper src 4","swatch-wrapper src 5","show-more 2","merchant-badge","product-name","overall-rating-text","p-right","-visually-hidden","hard-sale","-visually-hidden 2","strikedOut","hard-sale 2"
"https://www.levi.com/US/en_US/clothing/women/jeans/wide-leg/318-shaping-wide-leg-womens-jeans/p/001PZ0016","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001PZ-0016_GLO_CM_DA?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=1120&hei=1494","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001PZ-0016_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001PZ-0005_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001PZ-0001_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001PZ-0004_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001PZ-0009_GLO_CL_SW?$swatch$","+2","Best Seller","318 Shaping Wide Leg Women's Jeans","(1880)","$74.95","","","","",""
"https://www.levi.com/US/en_US/clothing/women/jeans/loose/cinch-baggy-womens-jeans/p/001UP0028","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001UP-0028_GLO_CM_DA?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=960&hei=1280","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001UP-0028_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001UP-0000_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001UP-0002_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001UP-0016_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_001UP-0003_GLO_CL_SW?$swatch$","+3","Best Seller","Cinch Baggy Women's Jeans","(1600)","$84.95","","","","",""
"https://www.levi.com/US/en_US/clothing/women/jeans/loose/low-loose-womens-jeans/p/A55660062","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A5566-0062_GLO_CM_DA?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=1120&hei=1494","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A5566-0062_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A5566-0028_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A5566-0064_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A5566-0063_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A5566-0027_GLO_CL_SW?$swatch$","+5","Best Seller","Low Loose Women's Jeans","(339)","$110.00","","","","",""
"https://www.levi.com/US/en_US/clothing/women/jeans/straight/501-original-fit-womens-jeans/p/125010632","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_12501-0632_GLO_CM_DA?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=1120&hei=1494","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_12501-0632_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_12501-0384_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_12501-0415_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_12501-0542_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_12501-0548_GLO_CL_SW?$swatch$","+6","Best Seller","501® Original Fit Women's Jeans","(902)","$110.00","","","","",""
"https://www.levi.com/US/en_US/clothing/women/jeans/straight/501-90s-womens-jeans/p/A19590133","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A1959-0133_GLO_CM_DA?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=960&hei=1280","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A1959-0133_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A1959-0032_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A1959-0106_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A1959-0059_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A1959-0064_GLO_CL_SW?$swatch$","+5","Levi's® Premium","501® '90s Women's Jeans","(471)","$110.00","","","","",""
"https://www.levi.com/US/en_US/clothing/women/jeans/straight/501-curve-womens-jeans/p/0036A0045","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0036A-0045_GLO_CM_DA?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=1120&hei=1494","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0036A-0045_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0036A-0002_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0036A-0005_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0036A-0000_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0036A-0015_GLO_CL_SW?$swatch$","+3","Best Seller","501® Curve Women's Jeans","(608)","$110.00","","","","",""
"https://www.levi.com/US/en_US/clothing/women/jeans/wide-leg/cinch-wide-leg-womens-jeans/p/0073B0001","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0073B-0001_GLO_CM_DA?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=1120&hei=1494","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0073B-0001_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0073B-0002_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0073B-0000_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_0073B-0003_GLO_CL_SW?$swatch$","","","Best Seller + New Style","Cinch Wide-Leg Women's Jeans","(38)","$110.00","","","","",""
"https://www.levi.com/US/en_US/clothing/women/jeans/wide-leg/middy-wide-leg-ankle-lightweight-womens-jeans/p/005D90002","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_005D9-0002_GLO_CM_DA?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=960&hei=1280","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_005D9-0002_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_005D9-0004_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_005D9-0000_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_005D9-0003_GLO_CL_SW?$swatch$","","","Best Seller","Middy Wide-Leg Ankle Lightweight Women's Jeans","(32)","$74.95","","","","",""
"https://www.levi.com/US/en_US/clothing/women/jeans/bootcut/ribcage-bell-womens-jeans/p/A75030007","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A7503-0007_GLO_CM_FV?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=1120&hei=1494","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A7503-0007_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A7503-0020_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_A7503-0019_GLO_CL_SW?$swatch$","","","","Best Seller","Ribcage Bell Women's Jeans","(508)","$110.00","","","","",""
"https://www.levi.com/US/en_US/clothing/women/jeans/straight/501-cropped-womens-jeans/p/362000398","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_36200-0398_GLO_CM_DA?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=1120&hei=1494","Quick Add","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_36200-0398_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_36200-0085_GLO_CL_SW?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_36200-0225_GLO_CL_SW?$swatch$","https://lsco.scene7.com/is/image/lsco/362000326-swatch-lse?$swatch$","https://lscoglobal.scene7.com/is/image/lscoglobal/WB_36200-0342_GLO_CL_SW?$swatch$","+7","Levi's® Premium","501® Cropped Women's Jeans","(458)","$110.00","","","","",""
