retailer,product_name,brand,color,sale_price,regular_price,on_sale,material,stretch,fit,rise,url,description
Levis,318 Shaping Wide Leg Women's Jeans,Levi's,Clever Girl - Dark Wash,74.95,74.95,No,"80% Cotton, 19% Polyester, 1% Elastane (LYCRA®)",High Stretch,Wide Leg,Mid Rise,https://www.levi.com/US/en_US/clothing/women/jeans/wide-leg/318-shaping-wide-leg-womens-jeans/p/001PZ0001,Clothing > Women > Jeans > Wide-Leg > 318 Shaping Wide Leg Women's Jeans
Levis,318 Shaping Wide Leg Women's Jeans,Levi's,Tall Glass Of Water - Light Wash,74.95,74.95,No,"80% Cotton, 19% Polyester, 1% Elastane (LYCRA®)",High Stretch,Wide Leg,Mid Rise,https://www.levi.com/US/en_US/clothing/women/jeans/wide-leg/318-shaping-wide-leg-womens-jeans/p/001PZ0004,Clothing > Women > Jeans > Wide-Leg > 318 Shaping Wide Leg Women's Jeans
Levis,318 Shaping Wide Leg Women's Jeans,Levi's,Soft Black,74.95,74.95,No,"78% Cotton, 21% Polyester, 1% Elastane (LYCRA®)",High Stretch,Wide Leg,Mid Rise,https://www.levi.com/US/en_US/clothing/women/jeans/wide-leg/318-shaping-wide-leg-womens-jeans/p/001PZ0005,Clothing > Women > Jeans > Wide-Leg > 318 Shaping Wide Leg Women's Jeans
Levis,318 Shaping Wide Leg Women's Jeans,Levi's,Unknown,74.95,74.95,No,"97% Cotton, 3% Elastane",High Stretch,Wide Leg,Mid Rise,https://www.levi.com/US/en_US/clothing/women/jeans/wide-leg/318-shaping-wide-leg-womens-jeans/p/001PZ0009,Clothing > Women > Jeans > Wide-Leg > 318 Shaping Wide Leg Women's Jeans
Levis,318 Shaping Wide Leg Women's Jeans,Levi's,Soft Clean White - White,74.95,74.95,No,"97% Cotton, 3% Elastane",High Stretch,Wide Leg,Mid Rise,https://www.levi.com/US/en_US/clothing/women/jeans/wide-leg/318-shaping-wide-leg-womens-jeans/p/001PZ0016,Clothing > Women > Jeans > Wide-Leg > 318 Shaping Wide Leg Women's Jeans
Levis,Cinch Baggy Women's Jeans,Levi's,Unknown,84.95,84.95,No,100% Cotton,No Stretch,"Loose, Baggy",High Rise,https://www.levi.com/US/en_US/clothing/women/jeans/loose/cinch-baggy-womens-jeans/p/001UP0000,Clothing > Women > Jeans > Loose > Cinch Baggy Women's Jeans
Levis,Cinch Baggy Women's Jeans,Levi's,Unknown,84.95,84.95,No,100% Cotton,No Stretch,"Loose, Baggy",High Rise,https://www.levi.com/US/en_US/clothing/women/jeans/loose/cinch-baggy-womens-jeans/p/001UP0002,Clothing > Women > Jeans > Loose > Cinch Baggy Women's Jeans
Levis,Cinch Baggy Women's Jeans,Levi's,Unknown,84.95,84.95,No,100% Cotton,No Stretch,"Loose, Baggy",High Rise,https://www.levi.com/US/en_US/clothing/women/jeans/loose/cinch-baggy-womens-jeans/p/001UP0003,Clothing > Women > Jeans > Loose > Cinch Baggy Women's Jeans
Levis,Cinch Baggy Women's Jeans,Levi's,Unknown,84.95,84.95,No,100% Cotton,No Stretch,"Loose, Baggy",High Rise,https://www.levi.com/US/en_US/clothing/women/jeans/loose/cinch-baggy-womens-jeans/p/001UP0016,Clothing > Women > Jeans > Loose > Cinch Baggy Women's Jeans
Levis,Cinch Baggy Women's Jeans,Levi's,Blank Impact - Medium Wash,84.95,84.95,No,100% Cotton,No Stretch,"Loose, Baggy",High Rise,https://www.levi.com/US/en_US/clothing/women/jeans/loose/cinch-baggy-womens-jeans/p/001UP0028,Clothing > Women > Jeans > Loose > Cinch Baggy Women's Jeans
Levis,Low Loose Women's Jeans,Levi's,Unknown,86.98,108.0,Yes,100% Cotton,No Stretch,Loose,Low Rise,https://www.levi.com/US/en_US/clothing/women/jeans/loose/low-loose-womens-jeans/p/A55660027,Clothing > Women > Jeans > Loose > Low Loose Women's Jeans
Levis,Low Loose Women's Jeans,Levi's,Unknown,86.98,108.0,Yes,100% Cotton,No Stretch,Loose,Low Rise,https://www.levi.com/US/en_US/clothing/women/jeans/loose/low-loose-womens-jeans/p/A55660028,Clothing > Women > Jeans > Loose > Low Loose Women's Jeans
Levis,Low Loose Women's Jeans,Levi's,Washed Pine Bark Gd - Brown,110,110,No,100% Cotton,No Stretch,Loose,Low Rise,https://www.levi.com/US/en_US/clothing/women/jeans/loose/low-loose-womens-jeans/p/A55660062,Clothing > Women > Jeans > Loose > Low Loose Women's Jeans
Levis,Low Loose Women's Jeans,Levi's,Unknown,86.98,108.0,Yes,100% Cotton,No Stretch,Loose,Low Rise,https://www.levi.com/US/en_US/clothing/women/jeans/loose/low-loose-womens-jeans/p/A55660063,Clothing > Women > Jeans > Loose > Low Loose Women's Jeans
