"plp_product-image href","plp_product-card__image src","plp_zoom-image src","plp_zoom-image src 2","plp_product-image__video src","plp_zoom-image src 3","plp_zoom-image src 4","plp_zoom-image src 5","plp_zoom-image src 6","plp_zoom-image src 7","badgeOverlayWrapper src","fds__card-copy","fds__core-web-price-small","fds__merchandising-marketing-flag","plp_zoom-image src 8","fds__core-web-original-price","fds__core-web-price-percent-off","fds__card-overflow-link","fds__card-overflow-link href","badgeOverlayWrapper"
"https://oldnavy.gap.com/browse/product.do?pid=901158002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0062/125/044/cn62125044.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/125/107/cn62125107.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/125/098/cn62125098.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/331/885/cn62331885.mp4","https://www1.assets-gap.com/webcontent/0062/125/131/cn62125131.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/069/093/cn62069093.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/066/735/cn62066735.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/069/074/cn62069074.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/348/088/cn62348088.jpg?q=h&w=768","https://digitalassets.gapinc.com/AssetLink/8p7bt4dyb52mqb0442ua2741b2d238w8.svg?TP=NAV/","Old Navy x Christopher John Rogers High-Waisted Barrel Jeans","$69.99","Hi, I'm New","","","","","",""
"https://oldnavy.gap.com/browse/product.do?pid=732591002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0055/940/355/cn55940355.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/939/957/cn55939957.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/939/966/cn55939966.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0053/528/435/cn53528435.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/939/969/cn55939969.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/939/981/cn55939981.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/939/983/cn55939983.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/939/999/cn55939999.jpg?q=h&w=768","https://digitalassets.gapinc.com/AssetLink/4eja5y48532xxtcc2njvhsw504ca5b27.svg?TP=NAV/","Mid-Rise Wow Boyfriend Straight Jeans","$28.00","Card Exclusive! $22.40 with Code VIP","https://www1.assets-gap.com/webcontent/0060/203/775/cn60203775.jpg?q=h&w=768","$36.99","24% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=734874002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0055/891/769/cn55891769.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/879/324/cn55879324.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/879/332/cn55879332.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0056/164/476/cn56164476.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/997/279/cn55997279.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/564/187/cn61564187.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/879/385/cn55879385.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/879/366/cn55879366.jpg?q=h&w=768","https://digitalassets.gapinc.com/AssetLink/4eja5y48532xxtcc2njvhsw504ca5b27.svg?TP=NAV/","High-Waisted Wow Straight Ankle Jeans","$24.00","Card Exclusive! $19.20 with Code VIP","https://www1.assets-gap.com/webcontent/0062/322/585/cn62322585.jpg?q=h&w=768","$34.99","31% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=901143002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0062/109/298/cn62109298.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/109/592/cn62109592.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/109/593/cn62109593.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0062/109/624/cn62109624.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/069/099/cn62069099.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/069/105/cn62069105.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/069/073/cn62069073.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/348/164/cn62348164.jpg?q=h&w=768","https://digitalassets.gapinc.com/AssetLink/8p7bt4dyb52mqb0442ua2741b2d238w8.svg?TP=NAV/","Old Navy x Christopher John Rogers Mid-Rise Baggy Wide-Leg Jeans","$64.99","Hi, I'm New","","","","","",""
"https://oldnavy.gap.com/browse/product.do?pid=894168002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0061/906/400/cn61906400.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/906/398/cn61906398.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/906/381/cn61906381.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/309/043/cn62309043.mp4","https://www1.assets-gap.com/webcontent/0061/906/393/cn61906393.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/177/585/cn62177585.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/177/583/cn62177583.jpg?q=h&w=768","","","","High-Waisted Drapey Wide-Leg Jeans","$54.99","Hi, I'm New","","","","+8","https://oldnavy.gap.com/browse/product.do?pid=894168002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans",""
"https://oldnavy.gap.com/browse/product.do?pid=732609002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0056/321/687/cn56321687.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/321/769/cn56321769.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/321/780/cn56321780.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/576/124/cn56576124.mp4","https://www1.assets-gap.com/webcontent/0055/854/251/cn55854251.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/854/275/cn55854275.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/851/663/cn55851663.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/851/687/cn55851687.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/324/680/cn62324680.jpg?q=h&w=768","https://digitalassets.gapinc.com/AssetLink/4eja5y48532xxtcc2njvhsw504ca5b27.svg?TP=NAV/","High-Waisted Wow Wide-Leg Jeans","$28.00","Card Exclusive! $22.40 with Code VIP","","$34.99","20% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=788103002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0060/143/066/cn60143066.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/143/021/cn60143021.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/143/022/cn60143022.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0060/143/025/cn60143025.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/103/992/cn62103992.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/143/033/cn60143033.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/143/026/cn60143026.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0059/944/711/cn59944711.jpg?q=h&w=768","https://digitalassets.gapinc.com/AssetLink/4eja5y48532xxtcc2njvhsw504ca5b27.svg?TP=NAV/","Mid-Rise Wow Baggy Wide-Leg Jeans","$28.00","Card Exclusive! $22.40 with Code VIP","https://www1.assets-gap.com/webcontent/0061/585/848/cn61585848.jpg?q=h&w=768","$39.99","30% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=547044002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0056/155/818/cn56155818.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/536/129/cn56536129.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/155/832/cn56155832.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/293/736/cn56293736.mp4","https://www1.assets-gap.com/webcontent/0055/933/391/cn55933391.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/933/382/cn55933382.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/790/097/cn55790097.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/789/897/cn55789897.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/172/054/cn60172054.jpg?q=h&w=768","","High-Waisted OG Straight Ankle Jeans","$26.99","Card Exclusive! $21.59 with Code VIP","","$44.99","40% Off","+1","https://oldnavy.gap.com/browse/product.do?pid=547044002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans",""
"https://oldnavy.gap.com/browse/product.do?pid=846874002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0056/933/197/cn56933197.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/933/125/cn56933125.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/943/041/cn56943041.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/101/248/cn57101248.mp4","https://www1.assets-gap.com/webcontent/0054/868/807/cn54868807.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/958/654/cn54958654.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/803/033/cn54803033.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/728/226/cn54728226.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/215/449/cn60215449.jpg?q=h&w=768","","High-Waisted OG Loose Jeans","$26.99","Card Exclusive! $21.59 with Code VIP","","$44.99","40% Off","+9","https://oldnavy.gap.com/browse/product.do?pid=846874002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans",""
"https://oldnavy.gap.com/browse/product.do?pid=493334002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0060/514/674/cn60514674.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/514/642/cn60514642.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/514/645/cn60514645.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0060/514/672/cn60514672.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/974/339/cn55974339.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/947/861/cn55947861.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/947/870/cn55947870.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0062/324/700/cn62324700.jpg?q=h&w=768","https://digitalassets.gapinc.com/AssetLink/4eja5y48532xxtcc2njvhsw504ca5b27.svg?TP=NAV/","High-Waisted Wow Loose Jeans","$28.00","Card Exclusive! $22.40 with Code VIP","","$34.99","20% Off","","",""
