"styles_ndsLink__GUaai href","styles_styledBodyMdText__lJVEV","styles_ndsTruncate__0rtO0","styles_ndsLink__GUaai","styles_ratingsAndReviews__B6_gt href","h-text-bold 2","h-text-greenDark","h-text-grayDark","styles_btn__1hjpW","h-text-grayDark 2","styles_styledBodyMdText__lJVEV 2","styles_styledBodySmText__v0z_0"
"https://www.target.com/p/levi-s-women-s-cinch-baggy-jeans/-/A-92690351?preselect=94771256#lnk=sametab","$69.99 - $74.99","Levi's® Women's High-Rise Cinch Baggy Jeans","Levi's","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/kbb-by-kahlana-women-s-mid-rise-barrel-leg-the-lynnox-jean-dark-wash/-/A-94680226?preselect=94893061#lnk=sametab","$45.00 - $55.00","KBB by KAHLANA Women's Mid-Rise Barrel Leg 'The Lynnox Jean'","KBB by Kahlana","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/levi-s-women-s-724-high-rise-straight-jeans/-/A-86370039?preselect=94771187#lnk=sametab","$59.99 - $64.99","Levi's® Women's 724™ High-Rise Straight Jeans","Levi's","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-everyday-high-rise-wide-leg-jeans-universal-thread/-/A-94441288?preselect=94766131#lnk=sametab","$28.00","Women's High-Rise Wide Leg Jeans - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/levi-s-women-s-cinch-baggy-jeans/-/A-92690351?preselect=92463657#lnk=sametab","$69.99 - $74.99","Levi's® Women's High-Rise Cinch Baggy Jeans","Levi's","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-80-s-slim-mid-rise-ankle-length-pant-universal-thread/-/A-94938590?preselect=1003954086#lnk=sametab","$35.00","Women's 80's Slim Mid-Rise Ankle Length Pant - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/kbb-by-kahlana-women-s-mid-rise-barrel-leg-the-kahlana-jean/-/A-94903589?preselect=94893213#lnk=sametab","$50.00","KBB by KAHLANA Women's Mid-Rise Barrel Leg 'The Kahlana Jean'","KBB by Kahlana","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/kbb-by-kahlana-women-s-barrel-leg-the-paper-bag-jean/-/A-94908565?preselect=94892873#lnk=sametab","$55.00","KBB by KAHLANA Women's Barrel Leg 'The Paper Bag Jean'","KBB by Kahlana","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/levi-s-women-s-501-jeans/-/A-92690344?preselect=94771243#lnk=sametab","$69.99 - $74.99","Levi's® Women's High-Rise 501® Jeans","Levi's","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-mid-rise-boyfriend-jeans-universal-thread/-/A-94776711?preselect=1003883672#lnk=sametab","$38.00","Women's Mid-Rise Boyfriend Jeans - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-high-rise-striped-barrel-jeans-universal-thread-white/-/A-1010573726?preselect=94765870#lnk=sametab","$38.00","Women's High-Rise Striped Barrel Jeans - Universal Thread™ White","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/levi-39-s-174-women-39-s-high-rise-wedgie-straight-cropped-jeans-indigo-here-we-go-26/-/A-90864735#lnk=sametab","$56.24","Levi's® Women's High-Rise Wedgie Straight Cropped Jeans - Indigo Here We go 26","Levi's","[object Object]","","","","Check stores","reg","$74.99","Clearance"
"https://www.target.com/p/women-s-high-rise-sailor-wide-leg-ankle-jeans-universal-thread/-/A-94164750?preselect=89508472#lnk=sametab","$17.50 - $19.25","Women's High-Rise Sailor Wide Leg Ankle Jeans - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","reg","$35.00","Clearance"
"https://www.target.com/p/women-s-highest-rise-striped-sailor-straight-jeans-universal-thread-white/-/A-94836317?preselect=94766026#lnk=sametab","$35.00","Women's Highest-Rise Striped Sailor Straight Jeans - Universal Thread™ White","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-high-rise-easy-barrel-jeans-universal-thread/-/A-94860304?preselect=94765834#lnk=sametab","$38.00","Women's High-Rise Easy Barrel Jeans - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-highest-rise-vintage-straight-jeans-universal-thread/-/A-94836116?preselect=94802701#lnk=sametab","$38.00","Women's Highest-Rise Vintage Straight Jeans - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-high-rise-corduroy-barrel-jeans-universal-thread/-/A-94652260?preselect=94649447#lnk=sametab","$17.50","Women's High-Rise Corduroy Barrel Jeans - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","reg","$35.00","Clearance"
"https://www.target.com/p/women-s-everyday-high-rise-straight-jeans-universal-thread/-/A-94441213?preselect=94333043#lnk=sametab","$28.00","Women's High-Rise Straight Jeans - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Tue, Apr 21","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-everyday-high-rise-skinny-jeans-universal-thread/-/A-94438544?preselect=94332824#lnk=sametab","$28.00","Women's High-Rise Skinny Jeans - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-high-rise-drawstring-soft-utility-jeans-universal-thread/-/A-94899075?preselect=94890923#lnk=sametab","$40.00","Women’s High-Rise Drawstring Soft Utility Jeans - Universal Thread™","Universal Thread","[object Object]","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/kbb-by-kahlana-women-s-mid-rise-barrel-leg-the-lynnox-jean-dark-wash/-/A-94680226?preselect=94893069#lnk=sametab","$45.00 - $55.00","KBB by KAHLANA Women's Mid-Rise Barrel Leg 'The Lynnox Jean'","KBB by Kahlana","[object Object]","Shipping","arrives Wed, Apr 22","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/levi-s-women-s-725-high-rise-bootcut-jeans/-/A-94837817?preselect=94779588#lnk=sametab","$59.99 - $64.99","Levi's® Women's 725 High-Rise Bootcut Jeans","Levi's","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/kbb-by-kahlana-women-s-barrel-leg-the-paper-bag-jean/-/A-94908565?preselect=94892870#lnk=sametab","$55.00","KBB by KAHLANA Women's Barrel Leg 'The Paper Bag Jean'","KBB by Kahlana","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/women-s-mid-rise-painter-boyfriend-jeans-universal-thread-light-wash/-/A-94905669?preselect=94766762#lnk=sametab","$40.00","Women's Mid-Rise Painter Boyfriend Jeans - Universal Thread™ Light Wash","Universal Thread","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","",""
