retailer,product_id,url,product_name,brand,brand_type,color,current_price,regular_price,on_sale,discount_pct,rise,leg_shape,fit,inseam,fabric,pct_cotton,pct_natural_fiber,stretch,closure
Target,1002811361,https://www.target.com/p/agnes-orinda-women-s-plus-size-casual-stretch-washed-pockets-wide-leg-palazzo-denim-jeans-black-1x/-/A-1002811361,Agnes Orinda Women's Plus Size Casual Stretch Washed Pockets Wide Leg Palazzo Denim Jeans Black 1X,Agnes Orinda,National Brand,black,49.99,66.69,true,25.0,High,Wide Leg,Wide Leg with a Regular Fit,27.0,"65% Cotton, 33% Polyester, 2% Spandex",65.0,65.0,,Fly Button and Zipper
Target,1002811360,https://www.target.com/p/agnes-orinda-women-s-plus-size-casual-stretch-washed-pockets-wide-leg-palazzo-denim-jeans-grey-blue-1x/-/A-1002811360,Agnes Orinda Women's Plus Size Casual Stretch Washed Pockets Wide Leg Palazzo Denim Jeans Black 1X,Agnes Orinda,National Brand,grey blue,49.99,66.69,true,25.0,High,Wide Leg,Wide Leg with a Regular Fit,27.0,"65% Cotton, 33% Polyester, 2% Spandex",65.0,65.0,,Fly Button and Zipper
Target,1002811359,https://www.target.com/p/agnes-orinda-women-s-plus-size-casual-stretch-washed-pockets-wide-leg-palazzo-denim-jeans-medium-blue-1x/-/A-1002811359,Agnes Orinda Women's Plus Size Casual Stretch Washed Pockets Wide Leg Palazzo Denim Jeans Black 1X,Agnes Orinda,National Brand,medium blue,49.99,66.69,true,25.0,High,Wide Leg,Wide Leg with a Regular Fit,27.0,"65% Cotton, 33% Polyester, 2% Spandex",65.0,65.0,,Fly Button and Zipper
Target,1002811362,https://www.target.com/p/agnes-orinda-women-s-plus-size-casual-stretch-washed-pockets-wide-leg-palazzo-denim-jeans-white-2x/-/A-1002811362,Agnes Orinda Women's Plus Size Casual Stretch Washed Pockets Wide Leg Palazzo Denim Jeans Black 1X,Agnes Orinda,National Brand,white,39.99,53.39,true,25.1,High,Wide Leg,Wide Leg with a Regular Fit,27.0,"65% Cotton, 33% Polyester, 2% Spandex",65.0,65.0,,Fly Button and Zipper
Target,86877886,https://www.target.com/p/agnes-orinda-women-s-plus-size-mid-rise-stretch-washed-skinny-denim-jeans-blue-1x/-/A-86877886,Women's Plus Size Mid Rise Stretch Washed Skinny Pocket Casual Denim Jeans - Agnes Orinda 2X Grey Blue,Agnes Orinda,National Brand,blue,40.99,54.69,true,25.1,Mid,Skinny,Jegging with a Slim Fit,,"85% Cotton, 13% Polyester, 2% Spandex",85.0,85.0,,Fly Button and Zipper
Target,1004177461,https://www.target.com/p/agnes-orinda-women-s-plus-size-mid-rise-stretch-washed-skinny-casual-denim-jeans-with-pocket-1x-grey-blue/-/A-1004177461,Women's Plus Size Mid Rise Stretch Washed Skinny Pocket Casual Denim Jeans - Agnes Orinda 2X Grey Blue,Agnes Orinda,National Brand,grey blue,36.99,49.39,true,25.1,Mid,Skinny,Jegging with a Slim Fit,,"85% Cotton, 13% Polyester, 2% Spandex",85.0,85.0,,Fly Button and Zipper
Target,1001317426,https://www.target.com/p/agnes-orinda-women-s-plus-size-mid-rise-stretch-washed-skinny-denim-jeans-pink-1x/-/A-1001317426,Women's Plus Size Mid Rise Stretch Washed Skinny Pocket Casual Denim Jeans - Agnes Orinda 2X Grey Blue,Agnes Orinda,National Brand,pink,36.99,49.39,true,25.1,Mid,Skinny,Jegging with a Slim Fit,,"85% Cotton, 13% Polyester, 2% Spandex",85.0,85.0,,Fly Button and Zipper
Target,89907281,https://www.target.com/p/agnes-orinda-women-s-plus-size-mid-rise-stretch-washed-skinny-denim-jeans-white-1x/-/A-89907281,Women's Plus Size Mid Rise Stretch Washed Skinny Pocket Casual Denim Jeans - Agnes Orinda 2X Grey Blue,Agnes Orinda,National Brand,white,35.09,58.49,true,40.0,Mid,Skinny,Jegging with a Slim Fit,,"85% Cotton, 13% Polyester, 2% Spandex",85.0,85.0,,Fly Button and Zipper
Target,1004270837,https://www.target.com/p/alfred-dunner-petite-women-s-classic-pull-on-elastic-waist-short-length-black-denim-jeans/-/A-1004270825?preselect=1004270837#lnk=sametab,"Alfred Dunner Petite Women's Classic Pull-On Elastic Waist Short Length Black Denim Jeans , Black , 12P",Alfred Dunner,National Brand,Black,29.99,49.5,true,39.4,Mid,Straight,Straight Leg with a Easy Fit,27.0,"65% Cotton, 32% Polyester, 3% Spandex",65.0,65.0,,Pull-On
Target,1003521217,https://www.target.com/p/agnes-orinda-women-s-plus-size-stretchy-washed-high-waist-zipper-casual-wide-leg-palazzo-jeans-with-button-blue-1x/-/A-1003521217,Agnes Orinda Women's Plus Size Stretchy Washed High Waist Zipper Casual Wide Leg Palazzo Jeans with Button Blue 3X,Agnes Orinda,National Brand,blue,39.99,53.39,true,25.1,High,Wide Leg,Wide Leg with a Regular Fit,25.75,"70% Cotton, 28% Polyester, 2% Spandex",70.0,70.0,,Front Buckle
