"w-100 href","ld_Fc","absolute src","f6","ld_Fc 2","f6 2","f2","f6 3","ld_Fc 3","di","normal","sans-serif","ld_Fc 4","ff-text-wrapper","b","z-2 href","br-100 src","z-2 href 2","br-100 src 2","z-2 href 3","br-100 src 3","sans-serif 2"
"https://www.walmart.com/ip/White-Mark-Women-s-Plus-Size-Super-Stretch-Black-Denim-Jeans/930578279?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","Women's Plus Size Super Stretch Black Denim Jeans $76.77","https://i5.walmartimages.com/seo/White-Mark-Women-s-Plus-Size-Super-Stretch-Black-Denim-Jeans_1b97b55d-4a65-43de-bb53-98e522156adc_1.ba9b68cb1357f1a3adb6b6970d8ab643.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","3 sizes","Available in additional 3 sizes","$","76","77","current price $76.77","White Mark","Women's Plus Size Super Stretch Black Denim Jeans","5","4.2 out of 5 Stars. 5 reviews","Free shipping, arrives","Thu, Apr 30","","","","","","",""
"https://www.walmart.com/ip/DARING-DIVA-Women-s-Plus-Denim-Cargo-Adjustable-Strap-Jeans-Pants-3X-Gray-Blue/17958308249?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","Women's Plus Denim Cargo Adjustable Strap Jeans Pants 3X Gray Blue $75.69","https://i5.walmartimages.com/seo/DARING-DIVA-Women-s-Plus-Denim-Cargo-Adjustable-Strap-Jeans-Pants-3X-Gray-Blue_3c663201-971d-4ae6-b8ae-cd6f84758b4d.63310519e656aa336d5c794a0cf18bc1.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","","","$","75","69","current price $75.69","DARING DIVA","Women's Plus Denim Cargo Adjustable Strap Jeans Pants 3X Gray Blue","","","Free shipping, arrives","in 3+ days","https://www.walmart.com/ip/DARING-DIVA-Women-s-Plus-Denim-Cargo-Adjustable-Strap-Jeans-Pants-1X-Blue/17936171709?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/e93cd75b-325e-4f3a-95cd-e030a6d2247e.40e69155f9a74196f908fcb5e21428ca.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/DARING-DIVA-Women-s-Plus-Denim-Cargo-Adjustable-Strap-Jeans-Pants-3X-Gray-Blue/17958308249?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/612ac164-2a71-44bd-b0f7-3af3ffaa0e30.b0a11a63db81b6ba656c6599bd41d2de.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","","",""
"https://www.walmart.com/ip/Jessica-Simpson-Women-s-JD-KISS-ME-SUPER-SKNNY-AVG-PNT-PLS-RAMON/456447978?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","Women's JD KISS ME SUPER SKNNY AVG PNT PLS-RAMON $69.50","https://i5.walmartimages.com/seo/Jessica-Simpson-Women-s-JD-KISS-ME-SUPER-SKNNY-AVG-PNT-PLS-RAMON_03066ffa-b609-456b-af63-d182269654ea.ff277e3d9cd652740b623c6be7185f9a.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","3 sizes","Available in additional 3 sizes","$","69","50","current price $69.50","Jessica Simpson","Women's JD KISS ME SUPER SKNNY AVG PNT PLS-RAMON","","","Free shipping, arrives","in 3+ days","","","","","","",""
"https://www.walmart.com/ip/Wrangler-Women-s-Willow-Ultimate-Riding-Trouser-Jean/6920755570?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","® Women's Willow Ultimate Riding Trouser Jean $66.90","https://i5.walmartimages.com/seo/Wrangler-Women-s-Willow-Ultimate-Riding-Trouser-Jean_7a28ecd0-6be9-4472-93fb-69e6e6bda16c.845228fc27e89a37899080d97bb56fd9.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","","","$","66","90","current price $66.90","Wrangler","® Women's Willow Ultimate Riding Trouser Jean","78","4.2 out of 5 Stars. 78 reviews","Free shipping, arrives","Fri, May 1","","","","","","",""
"https://www.walmart.com/ip/Rock-Republic-Women-s-Fever-Pull-On-Bootcut-Jean/840002848?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","Women's Fever Pull-On Bootcut Jean $59.98","https://i5.walmartimages.com/seo/Rock-Republic-Women-s-Fever-Pull-On-Bootcut-Jean_58bffbe7-80bc-40b6-ad7b-d517528646b2.7b4fc916a5c4d569c3ca678654407828.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","","","$","59","98","current price $59.98","Rock & Republic","Women's Fever Pull-On Bootcut Jean","82","4.2 out of 5 Stars. 82 reviews","Free shipping, arrives","in 3+ days","https://www.walmart.com/ip/Rock-Republic-Women-s-Fever-Pull-On-Bootcut-Jean/136155709?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/826487f7-2bbb-466a-b7e3-159b86bf024a.5e2dcd2ac5fa842ee29ffd78105461fe.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Women-s-Fever-Pull-On-Bootcut-Jean/486712282?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/580cb631-9215-4336-830d-f950d0c4c4c7.7d717be6e569303411ca34908be1c9b8.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Women-s-Fever-Pull-On-Bootcut-Jean/475635965?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/080cdecd-615b-420a-b916-94a2a954c26d.618091d73f624feff5ad4d5fb899fd80.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF",""
"https://www.walmart.com/ip/Rock-Republic-Womens-High-Roller-High-Rise-Skinny-Jean/617923694?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","Womens High Roller High Rise Skinny Jean $59.98","https://i5.walmartimages.com/seo/Rock-Republic-Womens-High-Roller-High-Rise-Skinny-Jean_a394d2e6-88ce-4d8c-9f57-ff65c7cb960e.b20c50df74dae83f64fa15497fe47edc.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","","","$","59","98","current price $59.98","Rock & Republic","Womens High Roller High Rise Skinny Jean","48","4.4 out of 5 Stars. 48 reviews","Free shipping, arrives","in 3+ days","https://www.walmart.com/ip/Rock-Republic-Women-s-High-Roller-High-Rise-Skinny-Jean/781744141?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/1c810097-9d2f-4f19-b292-81b8ef0f6204.c50a743bc469117c9086cc7723b936ea.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Womens-High-Roller-High-Rise-Skinny-Jean/751487816?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/d8880bbf-33f3-43a3-96d6-faf4a39c70ff.bdb5ef88d10a02b37612d7798b169360.png?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Womens-High-Roller-High-Rise-Skinny-Jean/617923694?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/b453454b-a937-4c28-8cf3-8fbe04880042.7ba8e83a252c94a1ac14000f76e3130b.png?odnHeight=30&odnWidth=30&odnBg=FFFFFF",""
"https://www.walmart.com/ip/Rock-Republic-Women-s-Mid-Rise-Indee-Boyfriend-Jean/752590931?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","Women's Mid Rise Indee Boyfriend Jean $59.98","https://i5.walmartimages.com/seo/Rock-Republic-Women-s-Mid-Rise-Indee-Boyfriend-Jean_5bc1ee27-b8a3-4d4a-8fbf-06e983279d5e.45e55d42119ea74d1c52726247ba40ee.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","","","$","59","98","current price $59.98","Rock & Republic","Women's Mid Rise Indee Boyfriend Jean","35","4.6 out of 5 Stars. 35 reviews","Free shipping, arrives","in 3+ days","https://www.walmart.com/ip/Rock-Republic-Women-s-Mid-Rise-Indee-Boyfriend-Jean/437062057?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/37bd9006-4e3f-4145-a786-dbbd52fab4d5.ef391a1b8644cd8d5b32784160da6fc6.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Women-s-Mid-Rise-Indee-Boyfriend-Jean/308879132?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/93c1c649-f4ba-43c6-b462-7b5efacaf084.08244c76dc792c0c618d00ed48e48206.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Women-s-Mid-Rise-Indee-Boyfriend-Jean/752590931?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/ca0c8091-5760-4502-9b9a-533e9c480e48.913ef5d0a9420233f8e9640e2509da28.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF",""
"https://www.walmart.com/ip/Rock-Republic-Womens-Denim-Kassandra-Mid-Rise-Bootcut-Jean/531082315?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","Womens Denim Kassandra Mid Rise Bootcut Jean $59.98","https://i5.walmartimages.com/seo/Rock-Republic-Womens-Denim-Kassandra-Mid-Rise-Bootcut-Jean_af40214c-296f-4c55-a2cb-c0f1a0b0c46c.dcd4b3a671a21dfa96f0e3e9e6a304bd.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","","","$","59","98","current price $59.98","Rock & Republic","Womens Denim Kassandra Mid Rise Bootcut Jean","101","4.4 out of 5 Stars. 101 reviews","Free shipping, arrives","in 3+ days","https://www.walmart.com/ip/Rock-Republic-Womens-Denim-Kassandra-Mid-Rise-Bootcut-Jean/531082315?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/7cca251d-8306-49b7-93d6-483eb9020063.7a6fa2ebe1f6df8f3ffc2f7ffa37fe83.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Womens-Denim-Kassandra-Mid-Rise-Bootcut-Jean/326303495?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/761a8900-853a-4286-bdf4-2e48bdb5d54f.3cbcbd4416683527bb17301c272f5c62.png?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Women-s-Denim-Kassandra-Mid-Rise-Bootcut-Jean/917413230?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/06c1115e-ab43-42fd-a6a8-c8cd83ed3216.c9443e1d15f3b0a1a0c7d29b67c2bd75.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF",""
"https://www.walmart.com/ip/Rock-Republic-Womens-Denim-Rx-Berlin-Mid-Rise-Skinny-Jean/235578170?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","Womens Denim Rx Berlin Mid Rise Skinny Jean $59.98","https://i5.walmartimages.com/seo/Rock-Republic-Womens-Denim-Rx-Berlin-Mid-Rise-Skinny-Jean_f4668b38-6407-4e36-829f-9bcbdc756fed.628ca2b4d8c825e7c0b1b28713676d8e.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","","","$","59","98","current price $59.98","Rock & Republic","Womens Denim Rx Berlin Mid Rise Skinny Jean","27","3.9 out of 5 Stars. 27 reviews","Free shipping, arrives","in 3+ days","https://www.walmart.com/ip/Rock-Republic-Women-s-Denim-Rx-Berlin-Mid-Rise-Skinny-Jean/578325205?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/287d465d-ce56-4aeb-9a95-c61d6f220e80.ffe9e7c7fc23617bc90f2d05505ebd78.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Womens-Denim-Rx-Berlin-Mid-Rise-Skinny-Jean/870733129?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/0650a2f7-bf5a-4cc0-9a3f-2cd75f063ab3.029eeabd1def597e4e9019bcdf5ec4f2.png?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Rock-Republic-Womens-Denim-Rx-Berlin-Mid-Rise-Skinny-Jean/771014130?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/cd5d450b-0ded-477c-8e58-9d4651b1765b.de63c46654f952d5f5afa803dd940c01.png?odnHeight=30&odnWidth=30&odnBg=FFFFFF",""
"https://www.walmart.com/ip/DARING-DIVA-Women-s-Wide-Leg-Jeans-Casual-Loose-Fit-Denim-Pants-Small-Blue/19890505071?filters=%5B%7B%22intent%22%3A%22retailer%22%2C%22values%22%3A%5B%22Walmart%22%5D%7D%5D&classType=VARIANT","Women's Wide Leg Jeans Casual Loose Fit Denim Pants Small Blue $58.59","https://i5.walmartimages.com/seo/DARING-DIVA-Women-s-Wide-Leg-Jeans-Casual-Loose-Fit-Denim-Pants-Small-Blue_26c4c3ed-9685-4231-ba27-66c60c28a257.40fb78df911f56d231a213f83e82fb9c.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","2 sizes","Available in additional 2 sizes","$","58","59","current price $58.59","DARING DIVA","Women's Wide Leg Jeans Casual Loose Fit Denim Pants Small Blue","","","Free shipping, arrives","in 3+ days","","","","","","",""
