"w-100 href","ld_Fc","absolute src","z-2 href","br-100 src","z-2 href 2","br-100 src 2","z-2 href 4","br-100 src 4","f6","f2","f6 2","ld_Fc 2","di","normal","sans-serif","ld_Fc 3","ff-text-wrapper","b"
"https://www.walmart.com/ip/Sofia-Jeans-Women-s-and-Women-s-Plus-Melisa-Flare-High-Rise-Jeans-Sizes-0-28W/5330099129?classType=VARIANT&athbdg=L1600","Best seller Sofia by Sofia Vergara Women's and Women's Plus Melisa Flare High Rise Jeans, 30.5"", 32.5"" and 34.5"" Inseams, Sizes 0-28 $25.00","https://i5.walmartimages.com/seo/Sofia-Jeans-Women-s-and-Women-s-Plus-Melisa-Flare-High-Rise-Jeans-Sizes-0-28W_286bf934-3698-40c4-8f34-2ef6b7c36949.622c6428b1e97d5831e7b70901917c9e.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","https://www.walmart.com/ip/Sofia-Jeans-Women-s-Plus-Size-Melisa-Flare-High-Rise-Jeans-32-5-Inseam-Sizes-14W-28W/15483004151?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/69ed1602-a9c9-4412-b31d-835da5603793.ec4b2248e976d6b800dcb2873ce5ed76.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Sofia-JeansWomen-s-Plus-Melissa-Flare-Zip-Fly-Sizes-14W-28W/12873624976?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/e327c3b1-9b6b-4aef-b62f-b745c2395ad7.1b5f178810fc6b9a7cce586300685c7f.png?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Sofia-Jeans-Women-s-Melisa-Flare-High-Rise-Jeans-32-5-Inseam-Sizes-0-20/16860409418?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/95d5a846-5e3a-492c-ae18-e0a119c25a32.3d88ce3f1bc2c2250e1ef110bd668713.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","$","25","00","current price $25.00","Sofia Vergara","Sofia by Sofia Vergara Women's and Women's Plus Melisa Flare High Rise Jeans, 30.5"", 32.5"" and 34.5"" Inseams, Sizes 0-28","8707","4.3 out of 5 Stars. 8707 reviews","Pickup","today"
"https://www.walmart.com/ip/HR-PATCH-POCKET-JN-S/17906057683?classType=VARIANT","Women's and Women's Plus Wide Leg Jeans with Patch Pockets, 30"", 32"", and 34"" Inseams, Sizes 0-26 Plus $28.00","https://i5.walmartimages.com/seo/HR-PATCH-POCKET-JN-S_29cdccf1-e34f-4f57-8405-65d68e9835dd.0873057c5a43a93df43c50d52de11ab3.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","https://www.walmart.com/ip/HR-PATCH-POCKET-JEAN/17867801842?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/ac8669fa-dd2f-4a8c-9868-f60215a32f6c.9dfba2dd930f5420fc8b3225b46b3a4b.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/PP-WL-JEAN-REG/14577463410?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/3e23c468-fa48-424a-b79a-97e1a746a365.58656b9bfd384cc349b65b8a85a701f2.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/HR-PATCH-POCKET-JN-S/17881902760?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/3c25db7a-e366-44d5-a604-a085881f70fd.948ee150a3968618970aef7f673f4ec3.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","$","28","00","current price $28.00","Free Assembly","Women's and Women's Plus Wide Leg Jeans with Patch Pockets, 30"", 32"", and 34"" Inseams, Sizes 0-26 Plus","2648","3.9 out of 5 Stars. 2648 reviews","Shipping arrives","in 3+ days"
"https://www.walmart.com/ip/No-Boundaries-High-Rise-Skinny-Jeans-28-5-Inseam-1-or-2-Pack-Women-s-and-Women-s-Plus/5113175886?classType=VARIANT&athbdg=L1600","Best seller High Rise Skinny Jeans, 29"" Inseam, Women's Sizes 00-20 $14.98","https://i5.walmartimages.com/seo/No-Boundaries-High-Rise-Skinny-Jeans-28-5-Inseam-1-or-2-Pack-Women-s-and-Women-s-Plus_e5316354-74de-4952-abca-3d7df04fef73.cd9bfaa9d08d8ab9a0736b858052785e.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","https://www.walmart.com/ip/No-Boundaries-Juniors-High-Rise-Skinny-Jeans-Sizes-00-20/5113175881?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/f38df509-ce8f-4673-8c9e-19a61afd16cf.38d22a21d03cbe822cded41eda91a00a.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/No-Boundaries-Juniors-High-Rise-Skinny-Jean-2-Pack-sizes-00-20/5684675741?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/af0bc1d3-9a27-400d-bbe7-987c4ef9cb4f.21d5500a05513b0cf53463af69ce64e5.png?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/No-Boundaries-Women-s-High-Rise-Skinny-Jean-Sizes-00-20-26-5-Inseam-Short-and-30-5-Inseam-Long/17493671819?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/d69b237d-48d0-4f08-900f-417aeb594624.b51774fbfc077dfeb781163bf0b10b97.png?odnHeight=30&odnWidth=30&odnBg=FFFFFF","$","14","98","current price $14.98","No Boundaries","High Rise Skinny Jeans, 29"" Inseam, Women's Sizes 00-20","6315","4.5 out of 5 Stars. 6315 reviews","Pickup","today"
"https://www.walmart.com/ip/No-Boundaries-Bootcut-Jean-Women-s/17896213268?classType=VARIANT","Bootcut Embellished Back Pocket Jeans, 32.5'' Inseam, Women's 00-18 $16.98","https://i5.walmartimages.com/seo/No-Boundaries-Bootcut-Jean-Women-s_b6927010-1c47-4e36-bb71-692d764c7df4.0fac7e9ad0c6eecf1a7d3f4ca191168d.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","https://www.walmart.com/ip/No-Boundaries-Bootcut-Jean-Women-s/17852859803?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/c593ff71-ea71-4e44-9d2a-5cef749df253.88bbb7aa532f33031448af4802321949.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","","","https://www.walmart.com/ip/No-Boundaries-Bootcut-Jean-Women-s/17873217411?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/c350f436-2bce-4ef2-b17a-2545702609e1.fdb01c3bd725a86e3c7de418bf227b33.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","$","16","98","current price $16.98","No Boundaries","Bootcut Embellished Back Pocket Jeans, 32.5'' Inseam, Women's 00-18","46","4.4 out of 5 Stars. 46 reviews","Shipping arrives","Fri, Apr 17"
"https://www.walmart.com/ip/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Jean-30-Inseam-Sizes-0-20-10S-16S/17842562949?classType=VARIANT","Women's High Rise Straight Leg Jeans, 30"" Inseam Regular, Sizes 0-20, 10S-16S $19.98","https://i5.walmartimages.com/seo/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Jean-30-Inseam-Sizes-0-20-10S-16S_1953ac20-733e-4c68-948c-1cb455e1710b.3131b8bdcee186741688c46f46ebad9c.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","https://www.walmart.com/ip/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Jean-30-Inseam-Sizes-0-20-10S-16S/17858754504?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/9ffb11b3-8f22-4d63-86c7-4f0aa1163411.d6564a520c15e32110786c4575831e02.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Jean-30-Inseam-Sizes-0-20-10S-16S/17813219111?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/10b3772d-b45f-403e-a91d-e9afbc81519b.6b4891bc34f8588b53584b1af3d30fb4.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Jean-30-Inseam-Sizes-0-20-10S-16S/17816101538?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/3fef84b8-3921-480e-8d2e-43befcfdf350.0f05e5c3d67ccde6955b0af68f2f588e.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","$","19","98","current price $19.98","Time and Tru","Women's High Rise Straight Leg Jeans, 30"" Inseam Regular, Sizes 0-20, 10S-16S","137","3.8 out of 5 Stars. 137 reviews","Shipping arrives","today"
"https://www.walmart.com/ip/Sofia-Vergara-Women-s-Margot-Wide-Leg-Average-Cargo-with-Belt-Sizes-2-20/17863603391?classType=VARIANT","Sofia by Sofia Vergara Women's and Women's Plus Margot Wide Leg High Rise Cargo Jeans with Belt, Sizes 0-28W $28.00","https://i5.walmartimages.com/seo/Sofia-Vergara-Women-s-Margot-Wide-Leg-Average-Cargo-with-Belt-Sizes-2-20_4f71be18-12a9-492e-9fbf-7ca25f9d11e0.0e9e3ad49aa85cfcd037eb31088c681e.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","https://www.walmart.com/ip/Sofia-Vergara-Women-s-Margot-Wide-Leg-Average-Cargo-with-Belt-Sizes-2-20/17852000648?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/e761ea4f-80af-4758-91ac-73c6b348e24f.3db37eed0b8063ad3238061877f035de.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Sofia-Vergara-Women-s-Margot-Wide-Leg-Average-Cargo-with-Belt-Sizes-2-20/17874057189?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/9cfcfad7-bb01-483c-8f2b-4942221bb5c7.7bc666a2969f25261626214352eaa562.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/SV-MARGOT-WL-CARGO/14196217074?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/946572de-cfee-4858-8e65-fd8ce1cfc94a.a6f0effe61722b5bcc5dff369dde2b9a.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","$","28","00","current price $28.00","Sofia Vergara","Sofia by Sofia Vergara Women's and Women's Plus Margot Wide Leg High Rise Cargo Jeans with Belt, Sizes 0-28W","939","4.4 out of 5 Stars. 939 reviews","Shipping arrives","Fri, Apr 17"
"https://www.walmart.com/ip/Time-and-Tru-Women-s-Mid-Rise-Utility-Trouser-31-Inseam-Sizes-0-20/17810024561?classType=VARIANT&athbdg=L1600","Best seller Women's Wide Leg Utility Trousers, 31"" Inseam, Sizes 0-20 $26.98","https://i5.walmartimages.com/seo/Time-and-Tru-Women-s-Mid-Rise-Utility-Trouser-31-Inseam-Sizes-0-20_6802d534-0c94-42d6-b839-41f734a6a44b.817527e07a8c56cb99694b35cd4cfda7.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","https://www.walmart.com/ip/Time-and-Tru-Women-s-Mid-Rise-Utility-Trouser-31-Inseam-Sizes-0-20/17858754391?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/21f2c854-5a10-41a3-829a-3a3cbd0678d6.09ea7ad2e734cb89c791000231aba02c.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Time-and-Tru-Women-s-Mid-Rise-Utility-Trouser-31-Inseam-Sizes-0-22/18051014388?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/d919b4b3-c4e9-411a-a08d-f72510219a73.2f3613dbce6d74c837e7f6dfd2e5f90d.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Time-and-Tru-Women-s-Mid-Rise-Utility-Trouser-31-Inseam-Sizes-0-20/17813219048?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/8f874f40-515b-41f1-8c86-ec4472f47300.4be7a1022341d88350cfd39b72b59828.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","$","26","98","current price $26.98","Time and Tru","Women's Wide Leg Utility Trousers, 31"" Inseam, Sizes 0-20","795","3.9 out of 5 Stars. 795 reviews","Shipping arrives","today"
"https://www.walmart.com/ip/Levi-Strauss-Signature-Women-s-and-Women-s-Plus-Mid-Rise-Straight-Jeans-Inseams-29-31-33-Sizes-2-26/14971761025?classType=VARIANT","Women's and Women's Plus Mid Rise Straight Jeans, Tummy-Smoothing Pannel, Inseams: 29"", 31"", 33"", Sizes 2-26 $26.98","https://i5.walmartimages.com/seo/Levi-Strauss-Signature-Women-s-and-Women-s-Plus-Mid-Rise-Straight-Jeans-Inseams-29-31-33-Sizes-2-26_1648ccbc-7862-4a6f-aab7-0ad136ef0e5e.44eae2edca82d784d553ce99c9fbac74.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","","","","","","","$","26","98","current price $26.98","Levi Strauss Signature","Women's and Women's Plus Mid Rise Straight Jeans, Tummy-Smoothing Pannel, Inseams: 29"", 31"", 33"", Sizes 2-26","6267","4.4 out of 5 Stars. 6267 reviews","Pickup","today"
"https://www.walmart.com/ip/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Cropped-Cuffed-Jean-26-5-Inseam-Sizes-0-20/17846660058?classType=VARIANT","Women's High Rise Straight Leg Cuffed Jeans, 26.5"" Inseam, Sizes 0-20 $24.98","https://i5.walmartimages.com/seo/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Cropped-Cuffed-Jean-26-5-Inseam-Sizes-0-20_eeee39b3-3d1d-48e4-9ca1-b17ac8ce33c3.f3466c92e0a35e2c6eab1a3d0dc74beb.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","https://www.walmart.com/ip/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Cropped-Cuffed-Jean-26-5-Inseam-Sizes-0-20/17832054022?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/a8f04871-dd22-4e0e-ab1f-7fded3a30541.6e3f7a37d4c434af01cf13c47123074a.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Cropped-Cuffed-Jean-26-5-Inseam-Sizes-0-20/17846660059?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/d4389311-acd6-4e9c-ae6d-034d4f0fa2c3.7444484767d08e560266ae8950d4ae36.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Time-and-Tru-Women-s-High-Rise-Straight-Leg-Cropped-Cuffed-Jean-26-5-Inseam-Sizes-0-20/17826070225?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/c94d5bf1-de32-4880-9d72-b14ecbc712da.6769324ad35a3ebc0ac21e43aa8f6eb7.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","$","24","98","current price $24.98","Time and Tru","Women's High Rise Straight Leg Cuffed Jeans, 26.5"" Inseam, Sizes 0-20","184","4.2 out of 5 Stars. 184 reviews","Shipping arrives","Sat, Apr 18"
"https://www.walmart.com/ip/Sofia-Vergara-Women-s-Margot-Wide-Leg-Tall-Jeans-Sizes-2-20/17875404947?classType=VARIANT","Sofia by Sofia Vergara Women's and Women's Plus Margot Wide Leg High Rise Jeans, 30.5"" and 32.5"" Inseams, Sizes 0-28 $25.00","https://i5.walmartimages.com/seo/Sofia-Vergara-Women-s-Margot-Wide-Leg-Tall-Jeans-Sizes-2-20_2389c790-3955-4e80-b978-a17028a0b374.2314e2155ee63e181cf14fa209e0debe.jpeg?odnHeight=864&odnWidth=576&odnBg=FFFFFF","https://www.walmart.com/ip/Sofia-Vergara-Women-s-Plus-Seamed-Wide-Leg-Jeans-Sizes-14W-26W/17827474539?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/c9fd96a7-452b-41d8-86ca-40e0685ac475.b79fd5c4bbea18055e9b8abfcadd7e97.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Sofia-Vergara-Women-s-Margot-Seamed-Wide-Leg-Tall-Jeans-Sizes-2-20/17874468667?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/cc2e195c-718d-4ee6-af03-6f516901aaad.190324d3fb370e7cf574eb71d57ebbb7.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","https://www.walmart.com/ip/Sofia-Jeans-Women-s-Margot-Wide-Leg-Jeans-32-5-Inseam-Sizes-0-20/16857871708?classType=undefined&variantFieldId=actual_color","https://i5.walmartimages.com/asr/60cb0941-2186-430b-827c-1b0eafbfdc4f.4d211d392f225ac72becb750dbf7df9c.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF","$","25","00","current price $25.00","Sofia Vergara","Sofia by Sofia Vergara Women's and Women's Plus Margot Wide Leg High Rise Jeans, 30.5"" and 32.5"" Inseams, Sizes 0-28","3727","4.4 out of 5 Stars. 3727 reviews","Shipping arrives","Fri, Apr 17"
